"","egoID","from.alter","to.alter","weight_origin","weight"
"20774",1232,"123203","123207",7,7
"20814",1239,"123903","123907",5,5
"20824",1242,"124203","124207",10,10
"20874",1254,"125403","125407",4,4
"20994",1276,"127603","127607",6,6
"21054",1283,"128303","128307",10,10
"21084",1287,"128703","128707",7,7
"21224",1314,"131403","131407",10,10
"21254",1322,"132203","132207",8,8
"21264",1323,"132303","132307",7,7
"21294",1326,"132603","132607",10,10
"21364",1338,"133803","133807",10,10
"21384",1343,"134303","134307",5,5
"21474",1358,"135803","135807",9,9
"21604",1382,"138203","138207",10,10
"21624",1385,"138503","138507",10,10
"21774",1419,"141903","141907",9,9
"21824",1425,"142503","142507",6,6
"21874",1432,"143203","143207",5,5
"21964",1450,"145003","145007",10,10
"21974",1451,"145103","145107",10,10
"22054",1462,"146203","146207",8,8
"22194",1483,"148303","148307",10,10
"22274",1495,"149503","149507",10,10
"22314",1500,"150003","150007",3,3
"22354",1506,"150603","150607",9,9
"22374",1509,"150903","150907",10,10
"22384",1513,"151303","151307",4,4
"22434",1529,"152903","152907",5,5
"22524",1543,"154303","154307",10,10
"22534",1544,"154403","154407",1,1
"22554",1547,"154703","154707",8,8
"22604",1556,"155603","155607",10,10
"22654",1570,"157003","157007",2,2
"22664",1571,"157103","157107",7,7
"22714",1582,"158203","158207",4,4
"22764",1604,"160403","160407",8,8
"22844",1618,"161803","161807",9,9
"22964",1641,"164103","164107",10,10
"23074",1659,"165903","165907",10,10
"23114",1664,"166403","166407",10,10
